26,14,6,2,10,4,8,14,12,14,6,2,2,10,14,12,12,12,12,12,4
3,1,9,13,15,6,2,11,4,1,11,5,3,1,11,12,12,4,10,4,2
11,12,14,6,3,11,13,15,4,2,9,6,3,2,11,4,2,8,7,10,5
11,4,3,3,1,3,2,9,14,5,2,9,13,13,15,4,3,2,3,11,4
11,6,1,11,6,1,11,14,15,12,13,6,2,2,9,12,5,3,11,13,4
1,3,2,1,1,2,1,1,11,12,4,1,11,13,12,4,10,13,15,14,4
10,13,15,12,14,15,4,2,3,2,2,2,9,14,4,10,13,4,3,9,6
11,4,11,4,3,11,4,9,13,15,13,15,12,13,14,5,10,6,1,8,7
11,4,11,6,3,3,10,12,6,11,4,11,12,6,9,14,7,1,2,8,5
3,8,5,3,1,11,13,6,1,9,6,1,8,5,2,1,3,10,5,2,2
11,14,4,11,4,3,8,15,6,8,15,6,2,2,3,2,1,11,4,11,5
1,1,8,7,8,15,4,1,1,10,7,11,15,15,13,13,14,15,12,5,2
8,12,14,5,10,15,12,4,8,7,1,3,1,11,12,4,1,11,4,8,7
2,2,3,2,1,9,12,12,4,1,2,11,6,11,14,12,4,11,14,12,7
9,13,13,15,14,12,12,12,12,4,3,3,3,3,11,14,6,1,11,6,3
2,10,14,5,11,14,14,12,14,4,9,5,3,1,1,1,3,8,5,1,3
11,5,11,4,3,1,1,2,9,4,8,14,13,12,6,8,13,4,10,14,7
11,4,3,2,9,12,14,7,8,6,10,13,14,4,1,8,6,10,5,3,1
1,10,15,13,4,10,5,11,12,7,11,4,11,12,14,6,9,15,6,9,6
2,3,3,2,10,15,6,11,6,1,1,2,9,4,3,1,2,1,11,6,3
9,5,9,5,1,1,1,1,9,12,12,13,4,8,13,12,13,4,1,1,1
