219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219
219,219,219,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
219,219,219,32,32,32,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,32,32,32,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,32,32,32,219,219,219,219,219,219,219,219,219,219,32,32,32,219,219,219,219,219
219,219,219,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,219,219,219,219,219,219,219,219,219,219,32,32,32,219,219,219,219,219
219,219,219,32,32,32,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,32,32,32,219,219,219,219,32,32,32,219,219,219,219,32,32,32,219,219,219,219,32,32,32,219,219,219,219,32,32,32,219,219,219,219,32,32,32,32,32,32,32,32,32,219,219,219,219,219
219,219,219,32,32,32,32,32,32,32,32,32,32,32,219,219,219,219,32,32,32,32,32,32,32,32,32,32,32,219,176,176,219,32,32,32,219,176,176,219,32,32,32,219,176,176,219,32,32,32,219,176,176,219,32,32,32,219,219,219,219,32,32,32,219,219,219,32,32,32,219,219,219,219,219
219,219,219,32,32,32,219,219,219,219,219,32,32,32,219,219,219,219,32,32,32,219,219,219,219,219,32,32,32,219,176,176,219,32,32,32,219,176,176,219,32,32,32,219,176,176,219,32,32,32,219,176,176,219,32,32,32,32,32,32,32,32,32,32,219,219,219,32,32,32,219,219,219,219,219
219,219,219,32,32,32,219,219,219,219,219,32,32,32,219,219,219,219,32,32,32,219,219,219,219,219,32,32,32,219,176,176,219,32,32,32,219,176,176,219,32,32,32,219,176,176,219,32,32,32,219,176,176,219,32,32,32,219,219,219,219,32,32,32,219,219,219,32,32,32,219,219,219,219,219
219,219,219,32,32,32,219,219,219,219,219,32,32,32,219,219,219,219,32,32,32,219,219,219,219,219,32,32,32,219,176,176,219,32,32,32,219,176,176,219,32,32,32,219,176,176,219,32,32,32,219,176,176,219,32,32,32,219,219,219,219,32,32,32,219,219,219,32,32,32,32,32,32,32,32
219,219,219,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,219,176,176,219,32,32,32,219,176,176,219,32,32,32,219,176,176,219,32,32,32,219,176,176,219,32,32,32,219,219,219,219,32,32,32,219,219,219,219,219,219,219,219,219,219,219
219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,32,32,32,219,219,219,219,32,32,32,219,219,219,219,32,32,32,219,219,219,219,32,32,32,219,219,219,219,32,32,32,219,219,219,219,32,32,32,32,32,32,32,32,32,32,32,32,32,32
219,219,219,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,219,219,219,219,32,32,32,219,219,219,32,32,32,219,219,219,219,219
219,219,219,32,32,32,219,219,219,219,219,219,219,219,219,219,219,219,219,32,32,32,219,219,219,219,32,32,32,219,219,219,219,32,32,32,219,219,219,219,219,219,219,219,219,219,219,32,32,32,219,219,219,219,32,32,32,219,219,219,219,32,32,32,219,219,219,32,32,32,219,219,219,219,219
219,219,219,32,32,32,219,219,219,219,219,219,219,219,219,219,219,219,219,32,32,32,219,219,219,219,32,32,32,219,219,219,219,32,32,32,219,219,219,219,219,219,219,219,219,219,219,32,32,32,219,219,219,219,32,32,32,219,219,219,219,32,32,32,219,219,219,32,32,32,219,219,219,219,219
