0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,X,X,X,X,X,X,X,X,X,X,X,X,4,0,0,0,0,3,X,X,X,X,X,4,0,0,0,0,3,X,X,X,X,X,X,X,X,X,X,X,X,4,0,0
0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0
0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0
0,0,X,0,0,0,0,3,X,X,X,X,7,X,X,9,X,X,X,X,8,0,0,0,0,0,10,X,X,X,X,9,X,X,7,X,X,X,X,4,0,0,0,0,X,0,0
0,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0,0,0,X,0,0,0,0,0,X,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,0,0
0,0,6,X,X,X,X,8,0,0,0,0,X,0,0,0,0,0,0,0,X,0,0,0,0,0,X,0,0,0,0,0,0,0,X,0,0,0,0,10,X,X,X,X,5,0,0
0,0,0,0,0,0,0,X,0,0,0,0,6,X,X,7,X,X,X,X,9,X,X,X,X,X,9,X,X,X,X,7,X,X,5,0,0,0,0,X,0,0,0,0,0,0,0
0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0
0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0
0,0,3,X,X,X,X,9,X,X,7,X,X,X,X,11,X,X,X,X,X,X,X,12,X,X,X,X,X,X,X,11,X,X,X,X,7,X,X,9,X,X,X,X,4,0,0
0,0,X,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0,0,0,X,0,0
0,0,X,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0,0,0,X,0,0
0,0,10,X,X,X,X,7,X,X,5,0,0,0,0,X,0,0,0,3,0,0,0,13,0,0,0,4,0,0,0,X,0,0,0,0,6,X,X,7,X,X,X,X,8,0,0
